slug,title,description,hub,cardType,contentType,pageTemplate,format,products,teams,topics,journeyStages,audiences,presenter,duration,difficulty,publishDate,featured,priority,externalUrl,videoUrl,wistiaId,slidesUrl,transcriptUrl,keyAssetUrl,keyAssetLabel,thumbnailUrl,keyTakeaways,actionItems,readingTime,competitor,enablementCategory,status
bva-sla-live-demo-walkthrough,BVA SLA + Live Demo Walkthrough,New BVA Slack workflow + Walkthrough of the new demo,enablement,content-card,training,training-session,live-replay,"sidekick, classic","sales, customer-success",,,,,60,,2025-07-17,FALSE,80,,https://drive.google.com/file/d/1Itkk6F2_Xyo697xny_TN99yQM4NscpdV/view,,,,,,,,,,,Value Realization,published
battlecards-drive-folder,Battlecards Drive Folder,All competitive battlecards,content,battle-card,battle-card,battle-card,document,"sidekick, classic",sales,,,,,,,2025-11-20,FALSE,50,https://drive.google.com/drive/folders/1C4wZMF_csPSaODt6NzcGpinm4mEjruF7,,,,,,,,,,,,,published
bottoms-up-pipeline-target-setting,Bottoms Up Pipeline Target Setting,Pipeline target setting methodology,content,content-card,,micro-learning,document,,,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/spreadsheets/d/1QXJX3_K2bS5LwQj-CAtEhVoC-Hwc5EkWnghYs-IrM8U/edit,,,,,,,,,,,,,published
csm-compensation-guide-fy2026-q2,CSM Compensation Guide (FY2026 Q2),CSM compensation documentation,content,content-card,,micro-learning,document,,customer-success,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/document/d/1xBiMzV5QbgbcLFkOQTdfm5OOFbEs7uvdb5iX1W4clus/,,,,,,,,,,,,,published
consumption-dashboard,Consumption Dashboard,Consumption metrics,content,content-card,,micro-learning,document,,customer-success,,,,,,,2025-11-01,FALSE,50,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000002gUYPMA2/view,,,,,,,,,,,,,published
core-systems-tips-tricks,Core Systems Tips & Tricks,Tips and tricks for core systems,content,content-card,,micro-learning,document,,"sales, customer-success",,,,,,,2025-11-01,FALSE,50,https://docs.google.com/document/d/1uBiC3y-yMgVGLkk67u_PUFttIhb9d8Nfc_qmyVM39J8/edit,,,,,,,,,,,,,published
customer-ai-narrative,Customer AI Narrative,"Deep dive into Gladly's messaging, what has changed, and why it matters",enablement,content-card,training,training-session,live-replay,"sidekick, classic","sales, customer-success",,,,,50,,2025-05-22,FALSE,80,,https://drive.google.com/file/d/19Olch59OMWAczh4Rn7VbIpXCHDnOTzeP/view,,,,,,,,,,,GTM,published
customer-consumption-dip-case-dashboard,Customer Consumption Dip Case Dashboard,Dip case tracking,content,content-card,,micro-learning,document,,customer-success,,,,,,,2025-11-01,FALSE,50,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000002uN0nMAE/view,,,,,,,,,,,,,published
customer-consumption-dip-cases-guide,Customer Consumption Dip Cases Guide,How to handle consumption dip cases,content,content-card,,micro-learning,document,,customer-success,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/document/d/1cup1o5nPHzmwL9EFHCWvHt_J8yybmW7aTYKK6-CQ8eY/edit,,,,,,,,,,,,,published
deal-desk-operations-ssot,Deal Desk Operations (SSOT),Single source of truth for deal desk operations,content,content-card,,micro-learning,document,,sales,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/document/d/1QSvu3dq3JFGTix066tZi-UVVpVRN1n5JpnRavFfCMmQ/edit,,,,,,,,,,,,,published
dealhub-module-1-dealhub-101,DealHub Module 1: DealHub 101,DealHub certification module 1 - DealHub 101,enablement,content-card,training,training-session,course,,sales,,,,,30,,2025-11-01,FALSE,70,,https://drive.google.com/file/d/1r55AH8fD5ECdPrDF0O6vQuO1dywFbSe9/view,,,,,,,,,,,Internal Ops,published
dealhub-module-2-simple-quote-generation,DealHub Module 2: Simple Quote Generation,DealHub certification module 2 - Simple Quote Generation,enablement,content-card,training,training-session,course,,sales,,,,,30,,2025-11-01,FALSE,70,,https://drive.google.com/file/d/1VBXMHfoBXvjQWyg5ZvjCAimaazLemOM_/view,,,,,,,,,,,Internal Ops,published
dealhub-module-3-advanced-quoting,DealHub Module 3: Advanced Quoting,DealHub certification module 3 - Advanced Quoting,enablement,content-card,training,training-session,course,,sales,,,,,30,,2025-11-01,FALSE,70,,https://drive.google.com/file/d/1oVEM3Jjq7YMQHeW2HvEObjjfLYOt2lip/view,,,,,,,,,,,Internal Ops,published
dealhub-module-4-approvals-dealtalk,DealHub Module 4: Approvals & Dealtalk,DealHub certification module 4 - Approvals & Dealtalk,enablement,content-card,training,training-session,course,,sales,,,,,30,,2025-11-01,FALSE,70,,https://drive.google.com/file/d/1nbHeiZr4OzJQN6aF1IWbwPG34jnyQvII/view,,,,,,,,,,,Internal Ops,published
dealhub-module-5-publishing-execution,DealHub Module 5: Publishing & Execution,DealHub certification module 5 - Publishing & Execution,enablement,content-card,training,training-session,course,,sales,,,,,30,,2025-11-01,FALSE,70,,https://drive.google.com/file/d/1kEgBI_O8-rM8B4zgvilrQYajA9Chvv0v/view,,,,,,,,,,,Internal Ops,published
deck-for-initial-conversation,Deck for Initial Conversation,Initial sales conversation deck,content,content-card,deck,micro-learning,template,sidekick,sales,,,,,,,2025-10-25,FALSE,50,https://docs.google.com/presentation/d/1Tc8wCa4b9Z7twKWEzALmw4fZXzMDmVjUDCXKOijQIoU/edit,,,,,,,,,,,,,published
exec-summary-template,Exec Summary Template,Executive summary template,content,content-card,template,micro-learning,template,,customer-success,,,,,,,2025-11-01,FALSE,50,https://docs.google.com/document/d/14LpTNuM_v8QvJMv4122mFbkS_tWiLaMQPQ_oKpzBcaw/template/preview,,,,,,,,,,,,,published
express-workshop-slides,Express Workshop Slides,Express workshop presentation,content,content-card,deck,micro-learning,document,sidekick,sales,,,,,,,2025-10-20,FALSE,50,https://docs.google.com/presentation/d/1_I0jBz91XhcJFE5Snrs_uPA6DIBFN2_8OjbqS8j_6pQ/edit,,,,,,,,,,,,,published
