title,description,hub,coeType,enablementCategory,contentType,teams,products,format,externalUrl,videoUrl,slidesUrl,keyAssetUrl,keyAssetLabel,presenter,duration,publishDate,featured,priority
CoE Assistant,AI assistant that helps pull relevant proof points and best practices from the CoE,coe,internal-best-practice,,,sales|customer-success,,,https://gemini.google.com/gem/1Ni5NH8lMDJ7v_FCN6DdLo2irtn56cLJW?usp=sharing,,,,,,,,FALSE,
CoE Submission Tips,CoE workflow instructions and tips on how to submit.,coe,process-innovation,,,sales|customer-success,,,https://docs.google.com/document/d/1g9EmAtRMD8R0ZHuJltLUjjjKB37o852FyzwoK8vLdPc/edit?tab=t.0,,,,,,,,FALSE,
CoE Repository /Proof Point Repository,"Repository of all CoE submissions, customer quotes, and proof points",coe,internal-best-practice,,,sales|customer-success,,,https://docs.google.com/spreadsheets/d/1Y0n1rVskWIzWcegwCbfP7YUXkjV58TFf5S7LLxMkFNA/edit?gid=1231034257#gid=1231034257,,,,,,,,FALSE,
A+R Operational Tooling,Forecasting and prioritization framework accelerates assists and resolutions Why It Matters: This method aligns CS resources for maximum customer impact.,coe,tool,,,customer-success|implementation,,,https://docs.google.com/presentation/d/1xi66eHAkaQbQLUeQ7BHRCFU08a4of1t30REdRpCJv_4/edit?slide=id.g36efe0cce60_2_55#slide=id.g36efe0cce60_2_55,,,,,,,,FALSE,
Gladly Reports and Insights,Reporting walkthrough format improves clarity for customer conversations Why It Matters: A simplified presentation format makes reporting easier to explain.,coe,meeting-asset,,,implementation,gladly-team|insights-dashboards,,https://docs.google.com/presentation/d/1K3vl9yFqU54gkf1C0nhABoFxm0kLCY5Ci7r5DQT240E/edit?slide=id.g36025773fef_0_793#slide=id.g36025773fef_0_793,,,,,,,,FALSE,
Real CX Metrics,Proof of concept for CX metrics enables smarter coaching and renewals Why It Matters: Automating CX metrics provides actionable insights that improve outcomes.,coe,internal-best-practice,,,customer-success,insights-dashboards,,https://docs.google.com/presentation/d/1jDCjcoAwJ4Oq3xDP-AwzMW91iVY7VWDB_GG2-6lMK_0/edit?slide=id.g36025773fef_0_793#slide=id.g36025773fef_0_793,,,,,,,,FALSE,
Sidekick Debugging,"Sidekick debug playbook codifies deep product learnings Why It Matters: This creates a repeatable, accessible resource that saves time troubleshooting.",coe,internal-best-practice,,,customer-success,gladly-sidekick,,https://docs.google.com/presentation/d/1wXKPjMZRwOpHBuhglLDZbJhwOwfmkN_KpF0KUWY5OFU/edit?slide=id.g36025773fef_0_793#slide=id.g36025773fef_0_793,,,,,,,,FALSE,
Social Proof Case Studies & Testionials,"Slide deck of social proof, case studies, and tesimonials to drive credibility in your presentations",coe,meeting-asset,,,sales|customer-success,,,https://docs.google.com/presentation/d/1Los9XfjtmFBJbbcY5vUf9YuRhlDzocw5Y9wmJq9Slx8/edit?usp=drive_open&ouid=102926403603073320356,,,,,,,,FALSE,
Cross-Org Guides Looker Dashboard,Guide on how to interprate and use the Cross-Org Guides Looker Dashboard.,coe,tool,,,sales|customer-success,guides|insights-dashboards,,https://docs.google.com/document/d/1XANF2CXqwaMNooiz-raP4f0ukKQVyhcS2c_HEOkBffo/edit?tab=t.0#heading=h.a5cvact35pt3,,,,,,,,FALSE,
Sidekick Answers and Guides Dashboard,"This document describes three new Looker dashboards—Cross Org, Internal, and Embedded—designed to track the performance of Sidekick Guides and Answers.",coe,tool,,,sales|customer-success,gladly-sidekick|guides|insights-dashboards,,https://docs.google.com/document/d/1XANF2CXqwaMNooiz-raP4f0ukKQVyhcS2c_HEOkBffo/edit?tab=t.0#heading=h.uf7g68jyftcc,,,,,,,,FALSE,
Sidekick Sales Resolution Dashboard,Looker dashboard tracking Sidekick Sales resolution performance and conversion metrics.,coe,tool,,,sales,gladly-sidekick|insights-dashboards,,https://gladly.looker.com/dashboards/4266?Sidekick+Profile=&Name=&Guide+Type=&Action+Week=4+weeks&Guide+Status=&Channel=&Login+Domain=&Has+Sidekick+V2+Enabled+%28Yes+%2F+No%29=&Guide+Description=%25SidekickForSales%25,,,,,,,,FALSE,
Hex Answers Performance,Hex analytics dashboard for measuring Sidekick Answers performance across organizations.,coe,internal-best-practice,,,sales|customer-success,,,https://www.google.com/url?q=https%3A%2F%2Fapp.hex.tech%2F5fc41969-6b7a-495f-a378-414a6e730bc5%2Fapp%2F8aa59230-60a3-40b0-ad5d-61fa5c7d1116%2Flatest%3Ftab%3Dorg-level&sa=D&sntz=1&usg=AOvVaw0SEcCIs0ToDkV3tq3LX3tH,,,,,,,,FALSE,
Hex Journey For guides Report,Hex report tracking Journey for Guides performance and customer engagement metrics.,coe,internal-best-practice,,,sales|customer-success,guides|journeys|insights-dashboards,,https://www.google.com/url?q=https%3A%2F%2Fapp.hex.tech%2F5fc41969-6b7a-495f-a378-414a6e730bc5%2Fapp%2FJourneys-for-Guides-Report-2a6f6vphifGwHLgxf1Gael%2Flatest&sa=D&sntz=1&usg=AOvVaw0Gz_E1i_JHmVNfLUIe7FyB,,,,,,,,FALSE,
Sidekick Cross-Org Metrics,Cross-organization metrics dashboard for Sidekick usage and performance benchmarking.,coe,internal-best-practice,,,sales|customer-success,gladly-sidekick,,https://gladly.looker.com/dashboards/2634?Timestamp+Last+Closed+At+Week=10+week+ago+for+10+week&Name=,,,,,,,,FALSE,
Sidekick Adoption Playbook,"The purpose of this playbook is to empower Gladly’s Account Management and Customer Success teams with the insights, actions, and resources they need to drive meaningful adoption of Sidekick – acro...",coe,internal-best-practice,,,customer-success,gladly-sidekick|insights-dashboards,,https://docs.google.com/document/d/1jZSBq3GSv5iA33ZwAvv0dLGFQmKf2l4bIFVPZvr2T2g/edit?usp=drive_link,,,,,,,,FALSE,
Sidekick Expansion Playbook,"The purpose of this playbook is to empower Gladly’s Account Management and Customer Success teams with the insights, actions, and resources they need to drive meaningful expansion of Sidekick.",coe,internal-best-practice,,,customer-success,gladly-sidekick|insights-dashboards,,https://docs.google.com/document/d/1oNpLt1B6-dwblKtxXiQiYGynLkYesCe8LjAwhoIyQps/edit?usp=drive_link,,,,,,,,FALSE,
Multi-Channel Optimization Guide: Scaling Beyond Single -Channel Success,This guide is designed to help organizations successfully scale Sidekick across multiple customer service channels while maintaining high performance.,coe,internal-best-practice,,,customer-success|implementation,gladly-sidekick,,https://docs.google.com/document/d/1aQPaIBAK4Hjw7LK1U_2m8vYKjnIiatT3urUnmUMh10s/edit?tab=t.0,,,,,,,,FALSE,
Daily Optimization: Customer Success Patterns,"This guide reveals that consistent daily optimization—not technology, integrations, or budget—is the single most important predictor of Sidekick success, with frameworks for replicating top perform...",coe,internal-best-practice,,,customer-success,gladly-sidekick,,https://docs.google.com/document/d/1aQPaIBAK4Hjw7LK1U_2m8vYKjnIiatT3urUnmUMh10s/edit?tab=t.t4y35o22uw75,,,,,,,,FALSE,
Chat Optimization Mastery: The Path to 90% FCR,"This guide provides a comprehensive roadmap for achieving elite-level chat automation performance, with organizations reaching 85-90% First Contact Resolution rates.",coe,internal-best-practice,,,sales|customer-success,journeys,,https://docs.google.com/document/d/1aQPaIBAK4Hjw7LK1U_2m8vYKjnIiatT3urUnmUMh10s/edit?tab=t.x15qpd8k7ww0,,,,,,,,FALSE,
Rapid Value Realization: Customer Success Patterns,"This guide demonstrates that exceptional Sidekick results happen within weeks, not months, when implementations follow proven patterns—providing a framework for replicating rapid success and diagno...",coe,internal-best-practice,,,sales|customer-success|implementation,gladly-sidekick|journeys|insights-dashboards,,https://docs.google.com/document/d/1aQPaIBAK4Hjw7LK1U_2m8vYKjnIiatT3urUnmUMh10s/edit?tab=t.hou5gyam9uco,,,,,,,,FALSE,
Integration Depth: Customer Success Patterns,"This guide demonstrates how integration depth directly correlates with Sidekick resolution performance, providing a framework for building technical capabilities that drive results.",coe,internal-best-practice,,,sales|customer-success|implementation,gladly-sidekick,,https://docs.google.com/document/d/1aQPaIBAK4Hjw7LK1U_2m8vYKjnIiatT3urUnmUMh10s/edit?tab=t.bymvtz37h9kt,,,,,,,,FALSE,
Sidekick Answers & Actions Best Practice,"The purpose of this playbook is to understand applied examples and learnings from our Design, PS, TAM, product and engineering team on Answers and Actions best practices.",coe,internal-best-practice,,,sales|customer-success,gladly-sidekick,,https://docs.google.com/document/d/17xw1-c5Is6tDT7mwR3ZejHhjlU1sanRfdiSjjQrgAbU/edit?tab=t.6jyoekj0psl#heading=h.ln4hvsxicr78,,,,,,,,FALSE,
Customer Presentation Best Practices,"This document outlines a comprehensive set of best practices for creating and delivering effective customer presentations, emphasizing that slides should enhance, not replace, communication and be ...",coe,meeting-asset,,,sales|customer-success,gladly-team,,https://docs.google.com/document/d/1iSyUqK4DJ20SntBW9sgy7pQrHY2RGDbArf6Aqyiy6TY/edit?tab=t.g3xbr9tk8abx#heading=h.dnz75twoxhkz,,,,,,,,FALSE,
